date,amount,category,merchant,day_of_week,is_weekend,month
2024-02-04,952.1,Rent,Landlord,Sunday,1,2
2024-02-05,1013.11,Rent,Landlord,Monday,0,2
2024-02-06,23.46,Restaurant,Trattoria Roma,Tuesday,0,2
2024-02-07,58.93,Utilities,Electric Company,Wednesday,0,2
2024-02-08,62.3,Utilities,Electric Company,Thursday,0,2
2024-02-08,993.11,Rent,Landlord,Thursday,0,2
2024-02-09,56.14,Utilities,Internet Provider,Friday,0,2
2024-02-10,192.87,Restaurant,Trattoria Roma,Saturday,1,2
2024-02-11,46.4,Groceries,Supermarket,Sunday,1,2
2024-02-11,41.14,Utilities,Electric Company,Sunday,1,2
2024-02-12,163.52,Groceries,Organic Market,Monday,0,2
2024-02-13,133.91,Groceries,Supermarket,Tuesday,0,2
2024-02-13,186.01,Restaurant,Pizza Place,Tuesday,0,2
2024-02-14,966.46,Rent,Landlord,Wednesday,0,2
2024-02-14,102.27,Transport,Taxi,Wednesday,0,2
2024-02-16,68.29,Utilities,Water Utility,Friday,0,2
2024-02-17,38.71,Utilities,Electric Company,Saturday,1,2
2024-02-17,194.73,Restaurant,Sushi Bar,Saturday,1,2
2024-02-17,90.46,Restaurant,Sushi Bar,Saturday,1,2
2024-02-19,192.55,Transport,Gas Station,Monday,0,2
2024-02-22,1039.03,Rent,Landlord,Thursday,0,2
2024-02-23,25.58,Restaurant,Sushi Bar,Friday,0,2
2024-02-24,48.81,Shopping,Electronics Shop,Saturday,1,2
2024-02-25,1017.17,Rent,Landlord,Sunday,1,2
2024-02-25,70.07,Entertainment,Streaming Service,Sunday,1,2
2024-02-26,97.07,Groceries,Supermarket,Monday,0,2
2024-02-26,112.15,Groceries,Supermarket,Monday,0,2
2024-02-27,177.36,Transport,Taxi,Tuesday,0,2
2024-02-28,39.97,Shopping,Electronics Shop,Wednesday,0,2
2024-02-28,196.93,Entertainment,Concert Hall,Wednesday,0,2
2024-02-29,165.25,Restaurant,Sushi Bar,Thursday,0,2
2024-02-29,29.68,Entertainment,Concert Hall,Thursday,0,2
2024-03-01,179.05,Entertainment,Cinema,Friday,0,3
2024-03-01,63.53,Transport,Taxi,Friday,0,3
2024-03-02,140.62,Shopping,Clothing Store,Saturday,1,3
2024-03-03,63.84,Utilities,Water Utility,Sunday,1,3
2024-03-03,90.48,Groceries,Coop,Sunday,1,3
2024-03-04,156.51,Restaurant,Trattoria Roma,Monday,0,3
2024-03-05,150.83,Entertainment,Cinema,Tuesday,0,3
2024-03-06,31.26,Healthcare,Pharmacy,Wednesday,0,3
2024-03-07,91.66,Shopping,Clothing Store,Thursday,0,3
2024-03-07,16.85,Transport,Train Station,Thursday,0,3
2024-03-09,64.89,Restaurant,Trattoria Roma,Saturday,1,3
2024-03-10,158.22,Groceries,Organic Market,Sunday,1,3
2024-03-11,185.9,Healthcare,Pharmacy,Monday,0,3
2024-03-11,1031.08,Rent,Landlord,Monday,0,3
2024-03-12,149.95,Restaurant,Pizza Place,Tuesday,0,3
2024-03-12,162.42,Shopping,Electronics Shop,Tuesday,0,3
2024-03-13,1020.13,Rent,Landlord,Wednesday,0,3
2024-03-13,173.13,Healthcare,Pharmacy,Wednesday,0,3
2024-03-14,61.81,Utilities,Water Utility,Thursday,0,3
2024-03-15,46.69,Restaurant,Sushi Bar,Friday,0,3
2024-03-16,76.72,Groceries,Organic Market,Saturday,1,3
2024-03-17,31.91,Shopping,Clothing Store,Sunday,1,3
2024-03-18,148.42,Healthcare,Clinic,Monday,0,3
2024-03-18,192.88,Transport,Train Station,Monday,0,3
2024-03-18,30.6,Entertainment,Cinema,Monday,0,3
2024-03-19,180.91,Groceries,Organic Market,Tuesday,0,3
2024-03-22,1044.89,Rent,Landlord,Friday,0,3
2024-03-23,146.75,Shopping,Clothing Store,Saturday,1,3
2024-03-23,68.76,Entertainment,Concert Hall,Saturday,1,3
2024-03-24,115.34,Healthcare,Clinic,Sunday,1,3
2024-03-26,126.95,Healthcare,Pharmacy,Tuesday,0,3
2024-03-27,64.51,Restaurant,Trattoria Roma,Wednesday,0,3
2024-03-28,93.94,Shopping,Electronics Shop,Thursday,0,3
2024-03-29,33.39,Utilities,Internet Provider,Friday,0,3
2024-03-30,165.5,Shopping,Clothing Store,Saturday,1,3
2024-03-31,163.25,Entertainment,Cinema,Sunday,1,3
2024-03-31,18.78,Transport,Gas Station,Sunday,1,3
